provider,model,index,status,time_s,input_tokens,output_tokens,cached_tokens,utc_completed
openai,gpt-4.1,26,Success,6.16,4715,389,4480,2025-07-10T17:27:18+00:00
openai,gpt-4.1,15,Success,32.27,4818,775,4736,2025-07-10T17:27:45+00:00
openai,gpt-4.1,9,Success,55.31,4976,1156,4864,2025-07-10T17:28:08+00:00
openai,gpt-4.1,44,Success,23.24,4746,572,4736,2025-07-10T17:28:08+00:00
openai,gpt-4.1,30,Success,52.23,4772,836,4736,2025-07-10T17:28:11+00:00
openai,gpt-4.1,86,Success,5.44,4673,335,4608,2025-07-10T17:28:13+00:00
openai,gpt-4.1,87,Success,5.67,4700,420,4608,2025-07-10T17:28:14+00:00
openai,gpt-4.1,96,Success,6.35,4715,503,4480,2025-07-10T17:28:19+00:00
openai,gpt-4.1,95,Success,12.15,4839,1028,4480,2025-07-10T17:28:23+00:00
openai,gpt-4.1,108,Success,10.53,4770,877,4480,2025-07-10T17:28:24+00:00
openai,gpt-4.1,113,Success,5.74,4751,588,4736,2025-07-10T17:28:25+00:00
openai,gpt-4.1,132,Success,3.31,4657,324,4608,2025-07-10T17:28:26+00:00
openai,gpt-4.1,153,Success,17.5,4721,554,4480,2025-07-10T17:28:43+00:00
openai,gpt-4.1,143,Success,18.8,4716,472,4608,2025-07-10T17:28:43+00:00
openai,gpt-4.1,159,Success,35.89,4697,403,4608,2025-07-10T17:29:02+00:00
openai,gpt-4.1,169,Success,11.41,4708,489,4608,2025-07-10T17:29:14+00:00
openai,gpt-4.1,167,Success,32.27,4747,633,4736,2025-07-10T17:29:15+00:00
openai,gpt-4.1,171,Success,19.11,4662,319,4480,2025-07-10T17:29:33+00:00
openai,gpt-4.1,177,Success,19.3,4726,494,4608,2025-07-10T17:29:34+00:00
openai,gpt-4.1,168,Success,73.87,4871,859,4736,2025-07-10T17:29:57+00:00
openai,gpt-4.1,178,Success,34.83,4873,853,4864,2025-07-10T17:30:08+00:00
