provider,model,index,status,time_s,utc_completed,input_tokens,output_tokens,cached_tokens
google,gemini-2.5-flash-lite-preview-06-17,0,Success,2.913,2025-06-24T09:01:34,2514,87,2389
google,gemini-2.5-flash,0,Success,2.925,2025-06-24T09:01:34,2514,205,2389
google,gemini-2.5-flash-lite-preview-06-17,1,Success,4.383,2025-06-24T09:01:35,2515,70,2389
google,gemini-2.5-flash,1,Success,4.395,2025-06-24T09:01:35,2515,243,2389
google,gemini-2.5-flash-lite-preview-06-17,3,Success,7.715,2025-06-24T09:01:39,2610,115,2389
google,gemini-2.5-flash,3,Success,7.75,2025-06-24T09:01:39,2610,172,2389
google,gemini-2.5-flash-lite-preview-06-17,2,Success,8.866,2025-06-24T09:01:40,2586,142,2389
google,gemini-2.5-flash,2,Success,8.877,2025-06-24T09:01:40,2586,303,2389
google,gemini-2.5-flash-lite-preview-06-17,4,Success,11.795,2025-06-24T09:01:43,2527,119,2389
google,gemini-2.5-flash,4,Success,11.83,2025-06-24T09:01:43,2527,321,2389
google,gemini-2.5-flash-lite-preview-06-17,5,Success,14.509,2025-06-24T09:01:46,2664,371,2389
google,gemini-2.5-flash,5,Success,14.521,2025-06-24T09:01:46,2664,439,2389
google,gemini-2.5-flash-lite-preview-06-17,6,Success,16.068,2025-06-24T09:01:47,2569,95,2389
google,gemini-2.5-flash,6,Success,16.07,2025-06-24T09:01:47,2569,312,2389
google,gemini-2.5-flash-lite-preview-06-17,7,Success,18.654,2025-06-24T09:01:50,2641,127,2389
google,gemini-2.5-flash,7,Success,18.655,2025-06-24T09:01:50,2641,293,2389
google,gemini-2.5-flash-lite-preview-06-17,8,Success,20.339,2025-06-24T09:01:51,2674,170,2389
google,gemini-2.5-flash,8,Success,20.34,2025-06-24T09:01:51,2674,429,2389
google,gemini-2.5-flash-lite-preview-06-17,10,Success,25.238,2025-06-24T09:01:56,2669,155,2389
google,gemini-2.5-flash,10,Success,25.248,2025-06-24T09:01:56,2669,437,2389
google,gemini-2.5-flash-lite-preview-06-17,9,Success,26.788,2025-06-24T09:01:58,2883,251,2389
google,gemini-2.5-flash,9,Success,26.799,2025-06-24T09:01:58,2883,814,2389
google,gemini-2.5-flash-lite-preview-06-17,12,Success,30.533,2025-06-24T09:02:02,2552,92,2389
google,gemini-2.5-flash,12,Success,30.544,2025-06-24T09:02:02,2552,242,2389
google,gemini-2.5-flash-lite-preview-06-17,11,Success,30.641,2025-06-24T09:02:02,2683,261,2389
google,gemini-2.5-flash,11,Success,30.642,2025-06-24T09:02:02,2683,580,2389
google,gemini-2.5-flash-lite-preview-06-17,13,Success,34.04,2025-06-24T09:02:05,2575,193,2389
google,gemini-2.5-flash,13,Success,34.042,2025-06-24T09:02:05,2575,248,2389
google,gemini-2.5-flash-lite-preview-06-17,14,Success,35.906,2025-06-24T09:02:07,2533,141,2389
google,gemini-2.5-flash,14,Success,35.916,2025-06-24T09:02:07,2533,329,2389
google,gemini-2.5-flash-lite-preview-06-17,16,Success,39.995,2025-06-24T09:02:11,2613,362,2389
google,gemini-2.5-flash,16,Success,40.006,2025-06-24T09:02:11,2613,233,2389
google,gemini-2.5-flash-lite-preview-06-17,15,Success,40.25,2025-06-24T09:02:11,2718,162,2389
google,gemini-2.5-flash,15,Success,40.26,2025-06-24T09:02:11,2718,676,2389
google,gemini-2.5-flash-lite-preview-06-17,17,Success,45.428,2025-06-24T09:02:16,2752,217,2389
google,gemini-2.5-flash,17,Success,45.429,2025-06-24T09:02:16,2752,535,2389
google,gemini-2.5-flash-lite-preview-06-17,18,Success,47.814,2025-06-24T09:02:19,2636,327,2389
google,gemini-2.5-flash,18,Success,47.825,2025-06-24T09:02:19,2636,617,2389
google,gemini-2.5-flash-lite-preview-06-17,19,Success,50.391,2025-06-24T09:02:21,2614,211,2389
google,gemini-2.5-flash,19,Success,50.395,2025-06-24T09:02:21,2614,416,2389
google,gemini-2.5-flash-lite-preview-06-17,20,Success,51.373,2025-06-24T09:02:22,2585,153,2389
google,gemini-2.5-flash,20,Success,51.374,2025-06-24T09:02:22,2585,249,2389
google,gemini-2.5-flash-lite-preview-06-17,21,Success,54.575,2025-06-24T09:02:26,2601,102,2389
google,gemini-2.5-flash,21,Success,54.586,2025-06-24T09:02:26,2601,486,2389
google,gemini-2.5-flash-lite-preview-06-17,22,Success,56.056,2025-06-24T09:02:27,2596,217,2389
google,gemini-2.5-flash,22,Success,56.067,2025-06-24T09:02:27,2596,568,2389
google,gemini-2.5-flash-lite-preview-06-17,24,Success,59.377,2025-06-24T09:02:30,2564,60,2389
google,gemini-2.5-flash,24,Success,59.378,2025-06-24T09:02:30,2564,232,2389
google,gemini-2.5-flash-lite-preview-06-17,23,Success,59.387,2025-06-24T09:02:30,2646,192,2389
google,gemini-2.5-flash,23,Success,59.388,2025-06-24T09:02:30,2646,450,2389
google,gemini-2.5-flash-lite-preview-06-17,26,Success,63.594,2025-06-24T09:02:35,2566,70,2389
google,gemini-2.5-flash,26,Success,63.604,2025-06-24T09:02:35,2566,292,2389
google,gemini-2.5-flash-lite-preview-06-17,25,Success,64.509,2025-06-24T09:02:36,2668,163,2389
google,gemini-2.5-flash,25,Success,64.519,2025-06-24T09:02:36,2668,506,2389
google,gemini-2.5-flash-lite-preview-06-17,28,Success,68.214,2025-06-24T09:02:39,2545,212,2389
google,gemini-2.5-flash,28,Success,68.215,2025-06-24T09:02:39,2545,176,2389
google,gemini-2.5-flash-lite-preview-06-17,27,Success,68.734,2025-06-24T09:02:40,2739,329,2389
google,gemini-2.5-flash,27,Success,68.735,2025-06-24T09:02:40,2739,533,2389
google,gemini-2.5-flash-lite-preview-06-17,29,Success,73.561,2025-06-24T09:02:45,2703,286,2389
google,gemini-2.5-flash,29,Success,73.562,2025-06-24T09:02:45,2703,747,2389
google,gemini-2.5-flash-lite-preview-06-17,30,Success,76.19,2025-06-24T09:02:47,2627,163,2389
google,gemini-2.5-flash,30,Success,76.191,2025-06-24T09:02:47,2627,740,2389
google,gemini-2.5-flash-lite-preview-06-17,31,Success,79.248,2025-06-24T09:02:50,2632,519,2389
google,gemini-2.5-flash,31,Success,79.259,2025-06-24T09:02:50,2632,661,2389
google,gemini-2.5-flash-lite-preview-06-17,32,Success,80.706,2025-06-24T09:02:52,2630,139,2389
google,gemini-2.5-flash,32,Success,80.716,2025-06-24T09:02:52,2630,313,2389
google,gemini-2.5-flash-lite-preview-06-17,33,Success,83.415,2025-06-24T09:02:54,2623,65,2389
google,gemini-2.5-flash,33,Success,83.426,2025-06-24T09:02:54,2623,340,2389
google,gemini-2.5-flash-lite-preview-06-17,34,Success,84.491,2025-06-24T09:02:56,2542,79,2389
google,gemini-2.5-flash,34,Success,84.492,2025-06-24T09:02:56,2542,172,2389
google,gemini-2.5-flash-lite-preview-06-17,35,Success,87.011,2025-06-24T09:02:58,2553,96,2389
