provider,model,index,status,time_s,input_tokens,output_tokens,cached_tokens,utc_completed
openai,gpt-4.1,4,Success,35.76,4548,453,4352,2025-07-08T16:22:55+00:00
google,gemini-2.5-flash,4,Success,35.76,5115,636,0,2025-07-08T16:22:55+00:00
openai,gpt-4.1,6,Success,7.9,4585,473,4352,2025-07-08T16:22:27+00:00
google,gemini-2.5-flash,6,Success,7.9,5157,695,0,2025-07-08T16:22:27+00:00
openai,gpt-4.1,7,Success,9.82,4671,519,4352,2025-07-08T16:22:29+00:00
google,gemini-2.5-flash,7,Success,9.82,5229,697,0,2025-07-08T16:22:29+00:00
openai,gpt-4.1,17,Success,16.91,4755,879,4352,2025-07-08T16:22:36+00:00
google,gemini-2.5-flash,17,Success,16.91,5340,868,0,2025-07-08T16:22:36+00:00
openai,gpt-4.1,18,Success,10.56,4664,748,4352,2025-07-08T16:22:30+00:00
google,gemini-2.5-flash,18,Success,10.56,5224,1124,0,2025-07-08T16:22:30+00:00
openai,gpt-4.1,20,Success,8.27,4598,486,4352,2025-07-08T16:22:28+00:00
google,gemini-2.5-flash,20,Success,8.27,5168,579,0,2025-07-08T16:22:28+00:00
openai,gpt-4.1,21,Success,12.21,4624,591,0,2025-07-08T16:22:32+00:00
google,gemini-2.5-flash,21,Success,12.21,5189,615,0,2025-07-08T16:22:32+00:00
openai,gpt-4.1,22,Success,36.37,4590,498,4352,2025-07-08T16:22:56+00:00
google,gemini-2.5-flash,22,Success,36.37,5159,611,0,2025-07-08T16:22:56+00:00
openai,gpt-4.1,24,Success,6.47,4577,316,0,2025-07-08T16:22:26+00:00
google,gemini-2.5-flash,24,Success,6.47,5152,433,0,2025-07-08T16:22:26+00:00
openai,gpt-4.1,28,Success,6.32,4572,395,4352,2025-07-08T16:22:26+00:00
google,gemini-2.5-flash,28,Success,6.32,5128,483,0,2025-07-08T16:22:26+00:00
