provider,model,index,status,time_s,input_tokens,output_tokens,cached_tokens,utc_completed
openai,gpt-4.1,15,Success,5.89,4818,768,4480,2025-07-10T17:18:29+00:00
openai,gpt-4.1,26,Success,3.49,4715,394,4608,2025-07-10T17:18:33+00:00
openai,gpt-4.1,9,Success,9.42,4976,1183,4480,2025-07-10T17:18:33+00:00
openai,gpt-4.1,44,Success,4.45,4746,574,4736,2025-07-10T17:18:37+00:00
openai,gpt-4.1,30,Success,6.58,4772,836,4480,2025-07-10T17:18:39+00:00
openai,gpt-4.1,86,Success,8.83,4673,334,4608,2025-07-10T17:18:54+00:00
openai,gpt-4.1,95,Success,8.34,4839,1028,4480,2025-07-10T17:19:06+00:00
openai,gpt-4.1,87,Success,3.4,4700,420,4608,2025-07-10T17:19:15+00:00
openai,gpt-4.1,108,Success,6.66,4770,843,4480,2025-07-10T17:19:31+00:00
openai,gpt-4.1,96,Success,3.59,4715,503,4480,2025-07-10T17:19:41+00:00
openai,gpt-4.1,113,Success,4.55,4751,588,4736,2025-07-10T17:19:56+00:00
openai,gpt-4.1,132,Success,2.79,4657,325,4608,2025-07-10T17:20:08+00:00
openai,gpt-4.1,143,Success,5.87,4716,481,4608,2025-07-10T17:20:24+00:00
openai,gpt-4.1,159,Success,3.21,4697,403,4480,2025-07-10T17:20:35+00:00
openai,gpt-4.1,153,Success,5.14,4721,554,4352,2025-07-10T17:20:50+00:00
openai,gpt-4.1,167,Success,5.07,4747,633,4736,2025-07-10T17:21:03+00:00
openai,gpt-4.1,169,Success,4.44,4708,489,4608,2025-07-10T17:21:16+00:00
openai,gpt-4.1,171,Success,2.95,4662,319,4480,2025-07-10T17:21:41+00:00
openai,gpt-4.1,168,Success,20.66,4871,859,4736,2025-07-10T17:21:45+00:00
openai,gpt-4.1,178,Success,6.47,4873,853,4480,2025-07-10T17:21:58+00:00
openai,gpt-4.1,177,Success,4.08,4726,488,4480,2025-07-10T17:22:10+00:00
