provider,model,index,status,time_s,input_tokens,output_tokens,cached_tokens,utc_completed
google,gemini-2.5-flash,86,Success,4.45,5324,380,0,2025-07-10T18:04:07+00:00
google,gemini-2.5-flash,171,Success,5.19,5321,372,0,2025-07-10T18:04:08+00:00
google,gemini-2.5-flash,132,Success,5.25,5315,381,0,2025-07-10T18:04:08+00:00
google,gemini-2.5-flash,159,Success,5.76,5360,430,0,2025-07-10T18:04:09+00:00
google,gemini-2.5-flash,87,Success,6.3,5380,523,0,2025-07-10T18:04:09+00:00
google,gemini-2.5-flash,96,Success,6.3,5375,566,0,2025-07-10T18:04:09+00:00
google,gemini-2.5-flash,26,Success,6.58,5374,515,0,2025-07-10T18:04:09+00:00
google,gemini-2.5-flash,169,Success,7.03,5383,583,0,2025-07-10T18:04:10+00:00
google,gemini-2.5-flash,153,Success,7.68,5418,761,0,2025-07-10T18:04:10+00:00
google,gemini-2.5-flash,113,Success,7.7,5414,719,0,2025-07-10T18:04:10+00:00
google,gemini-2.5-flash,30,Success,9.37,5439,1055,0,2025-07-10T18:04:12+00:00
google,gemini-2.5-flash,143,Success,9.42,5386,645,0,2025-07-10T18:04:12+00:00
google,gemini-2.5-flash,178,Success,10.16,5577,1105,0,2025-07-10T18:04:13+00:00
google,gemini-2.5-flash,15,Success,10.2,5533,1082,0,2025-07-10T18:04:13+00:00
google,gemini-2.5-flash,44,Success,10.8,5443,679,0,2025-07-10T18:04:14+00:00
google,gemini-2.5-flash,167,Success,11.62,5428,903,0,2025-07-10T18:04:14+00:00
google,gemini-2.5-flash,108,Success,11.62,5437,1050,0,2025-07-10T18:04:14+00:00
google,gemini-2.5-flash,95,Success,12.23,5538,1214,0,2025-07-10T18:04:15+00:00
google,gemini-2.5-flash,9,Success,20.04,5702,1540,0,2025-07-10T18:04:23+00:00
google,gemini-2.5-flash,168,Success,20.63,5571,1340,0,2025-07-10T18:04:23+00:00
google,gemini-2.5-flash,177,Success,35.14,5426,672,0,2025-07-10T18:04:38+00:00
