provider,model,index,time_taken
anthropic,claude-3-5-haiku-20241022,3331,5.179341793060303
openai,o3-mini,3331,11.440623044967651
openai,gpt-4.1,3331,2.2725532054901123
openai,gpt-4.1-mini,3331,3.7442119121551514
google,gemini-2.5-pro,3331,17.230550050735474
google,gemini-2.5-flash,3331,7.136554956436157
google,gemini-2.5-flash-lite-preview-06-17,3331,0.8202381134033203
google,gemini-2.0-flash-thinking-exp,3331,4.911429166793823
anthropic,claude-3-5-haiku-20241022,1647,6.140944719314575
openai,o3-mini,1647,11.051999807357788
openai,gpt-4.1,1647,2.6701319217681885
openai,gpt-4.1-mini,1647,4.697098970413208
google,gemini-2.5-pro,1647,12.855580806732178
google,gemini-2.5-flash,1647,5.177987098693848
google,gemini-2.5-flash-lite-preview-06-17,1647,1.0223910808563232
google,gemini-2.0-flash-thinking-exp,1647,3.683274984359741
anthropic,claude-3-5-haiku-20241022,636,4.7087156772613525
openai,o3-mini,636,26.90355610847473
openai,gpt-4.1,636,2.063231945037842
openai,gpt-4.1-mini,636,1.8394722938537598
google,gemini-2.5-pro,636,15.151169776916504
google,gemini-2.5-flash,636,4.450557231903076
google,gemini-2.5-flash-lite-preview-06-17,636,0.6148107051849365
google,gemini-2.0-flash-thinking-exp,636,2.948331117630005
anthropic,claude-3-5-haiku-20241022,399,5.411988973617554
openai,o3-mini,399,22.528152227401733
openai,gpt-4.1,399,2.659259080886841
openai,gpt-4.1-mini,399,3.8908851146698
google,gemini-2.5-pro,399,15.563427209854126
google,gemini-2.5-flash,399,11.880875825881958
google,gemini-2.5-flash-lite-preview-06-17,399,1.02095365524292
google,gemini-2.0-flash-thinking-exp,399,13.249859094619751
anthropic,claude-3-5-haiku-20241022,4670,3.240200996398926
openai,o3-mini,4670,11.828109979629517
openai,gpt-4.1,4670,1.050321102142334
openai,gpt-4.1-mini,4670,1.4121730327606201
google,gemini-2.5-pro,4670,13.437174081802368
google,gemini-2.5-flash,4670,3.900407075881958
google,gemini-2.5-flash-lite-preview-06-17,4670,0.8180050849914551
google,gemini-2.0-flash-thinking-exp,4670,3.745723009109497
anthropic,claude-3-5-haiku-20241022,5918,6.900248289108276
openai,o3-mini,5918,10.363424062728882
openai,gpt-4.1,5918,1.864811897277832
openai,gpt-4.1-mini,5918,3.634114980697632
google,gemini-2.5-pro,5918,13.037024021148682
google,gemini-2.5-flash,5918,4.958733797073364
google,gemini-2.5-flash-lite-preview-06-17,5918,0.9515600204467773
google,gemini-2.0-flash-thinking-exp,5918,2.6596977710723877
anthropic,claude-3-5-haiku-20241022,1531,5.732403755187988
openai,o3-mini,1531,19.25193500518799
openai,gpt-4.1,1531,2.8642120361328125
openai,gpt-4.1-mini,1531,4.300982713699341
google,gemini-2.5-pro,1531,25.42141079902649
google,gemini-2.5-flash,1531,5.193561792373657
google,gemini-2.5-flash-lite-preview-06-17,1531,0.9218931198120117
google,gemini-2.0-flash-thinking-exp,1531,3.7362139225006104
anthropic,claude-3-5-haiku-20241022,7364,6.703718900680542
openai,o3-mini,7364,28.652225017547607
openai,gpt-4.1,7364,3.269831895828247
openai,gpt-4.1-mini,7364,7.1909730434417725
google,gemini-2.5-pro,7364,37.426024198532104
google,gemini-2.5-flash,7364,12.3405921459198
google,gemini-2.5-flash-lite-preview-06-17,7364,1.2277982234954834
google,gemini-2.0-flash-thinking-exp,7364,7.98734188079834
anthropic,claude-3-5-haiku-20241022,5464,6.683513164520264
openai,o3-mini,5464,15.023430824279785
openai,gpt-4.1,5464,4.095028877258301
openai,gpt-4.1-mini,5464,6.7566821575164795
google,gemini-2.5-pro,5464,35.236238956451416
google,gemini-2.5-flash,5464,16.57724905014038
google,gemini-2.5-flash-lite-preview-06-17,5464,1.0233311653137207
google,gemini-2.0-flash-thinking-exp,5464,7.374104976654053
anthropic,claude-3-5-haiku-20241022,1205,5.730427980422974
openai,o3-mini,1205,15.359426975250244
openai,gpt-4.1,1205,3.884568929672241
openai,gpt-4.1-mini,1205,4.91910195350647
google,gemini-2.5-pro,1205,18.430942058563232
google,gemini-2.5-flash,1205,8.159640073776245
google,gemini-2.5-flash-lite-preview-06-17,1205,1.0541486740112305
google,gemini-2.0-flash-thinking-exp,1205,4.504863977432251
anthropic,claude-3-5-haiku-20241022,3518,5.731997966766357
openai,o3-mini,3518,10.363585948944092
openai,gpt-4.1,3518,3.061570167541504
openai,gpt-4.1-mini,3518,5.651500940322876
google,gemini-2.5-pro,3518,24.585551023483276
google,gemini-2.5-flash,3518,5.482311964035034
google,gemini-2.5-flash-lite-preview-06-17,3518,0.937809944152832
google,gemini-2.0-flash-thinking-exp,3518,3.7083160877227783
anthropic,claude-3-5-haiku-20241022,6732,6.4119179248809814
openai,o3-mini,6732,12.69527792930603
openai,gpt-4.1,6732,2.596423864364624
openai,gpt-4.1-mini,6732,4.631202697753906
google,gemini-2.5-pro,6732,15.236063957214355
google,gemini-2.5-flash,6732,5.794259309768677
google,gemini-2.5-flash-lite-preview-06-17,6732,1.0236179828643799
google,gemini-2.0-flash-thinking-exp,6732,3.273237943649292
