provider,model,index,status,time_s,input_tokens,output_tokens,cached_tokens,utc_completed
openai,gpt-4.1,15,Success,6.14,4818,775,4480,2025-07-10T17:53:53+00:00
openai,gpt-4.1,26,Success,3.41,4715,389,4480,2025-07-10T17:53:57+00:00
openai,gpt-4.1,9,Success,12.11,4976,1207,4480,2025-07-10T17:53:59+00:00
openai,gpt-4.1,44,Success,5.01,4746,572,4736,2025-07-10T17:54:04+00:00
openai,gpt-4.1,30,Success,7.69,4772,836,4736,2025-07-10T17:54:04+00:00
openai,gpt-4.1,87,Success,4.38,4700,420,4608,2025-07-10T17:54:09+00:00
openai,gpt-4.1,86,Success,4.52,4673,335,4608,2025-07-10T17:54:09+00:00
openai,gpt-4.1,96,Success,6.88,4715,502,4480,2025-07-10T17:54:16+00:00
openai,gpt-4.1,95,Success,19.63,4839,1028,4480,2025-07-10T17:54:28+00:00
openai,gpt-4.1,113,Success,12.12,4751,593,4480,2025-07-10T17:54:40+00:00
openai,gpt-4.1,132,Success,10.65,4657,325,4608,2025-07-10T17:54:51+00:00
openai,gpt-4.1,143,Success,10.04,4716,477,4608,2025-07-10T17:55:01+00:00
openai,gpt-4.1,153,Success,15.97,4721,555,4608,2025-07-10T17:55:17+00:00
openai,gpt-4.1,108,Success,68.04,4770,843,4736,2025-07-10T17:55:24+00:00
openai,gpt-4.1,167,Success,10.82,4747,633,4736,2025-07-10T17:55:35+00:00
openai,gpt-4.1,159,Success,24.51,4697,380,4608,2025-07-10T17:55:42+00:00
openai,gpt-4.1,168,Success,11.38,4871,863,4736,2025-07-10T17:55:46+00:00
openai,gpt-4.1,171,Success,16.18,4662,319,4608,2025-07-10T17:56:03+00:00
openai,gpt-4.1,169,Success,35.29,4708,483,4608,2025-07-10T17:56:17+00:00
openai,gpt-4.1,178,Success,12.24,4873,848,4864,2025-07-10T17:56:29+00:00
openai,gpt-4.1,177,Success,33.88,4726,488,4608,2025-07-10T17:56:36+00:00
